category,url,advertised_count
Hotel and HospitalityÂ,https://ikman.lk/en/ads/sri-lanka/hotel-and-hospitality-jobs,284
Hospital and HealthcareÂ,https://ikman.lk/en/ads/sri-lanka/hospital-and-healthcare-jobs,165
IT and Network IndustryÂ,https://ikman.lk/en/ads/sri-lanka/it-and-network-industry-jobs,94
Digital MarketingÂ,https://ikman.lk/en/ads/sri-lanka/digital-marketing-jobs,70
Security and MilitaryÂ,https://ikman.lk/en/ads/sri-lanka/security-and-military-jobs,60
EngineeringÂ,https://ikman.lk/en/ads/sri-lanka/engineer-jobs,45
HR and RecruitmentsÂ,https://ikman.lk/en/ads/sri-lanka/hr-and-recruitments-jobs,38
DesignerÂ,https://ikman.lk/en/ads/sri-lanka/designer-jobs,18
AnalystÂ,https://ikman.lk/en/ads/sri-lanka/analyst-jobs,14
EditorÂ,https://ikman.lk/en/ads/sri-lanka/editor-jobs,11
Content WritersÂ,https://ikman.lk/en/ads/sri-lanka/content-writers-jobs,5
ArchitectureÂ,https://ikman.lk/en/ads/sri-lanka/architecture-jobs,1
