detail_url,description,company,error
https://ikman.lk/en/ad/steward-for-restuarant-colombo-1,"MINIMUM 2 YEAR WORKING EXPERIENSE IN HOTEL FIELD
COMPLETED NVQ LEVEL 1
ORAL & WRITING SKILL OF ENGLISH
BENIFIT
FREE MEAL & ACCOMMODATION",,
https://ikman.lk/en/ad/villa-care-taker-manager-kurunegala-1,"WE ARE HIRING – CARE TAKER 🏡
Looking for a trustworthy, responsible and friendly care taker for a villa in Nuwara elita to join our team.
✔ Accommodation can be discussed
✔ Friendly working environment
✔ Prior experience preferred
Cooking ability will be an extra advantage
If interested, please WhatsApp your details/CV to:
📞 0777261799",,
https://ikman.lk/en/ad/steward-male-females-anuradhapura,"🚨 වහාම බඳවා ගැනේ - CHAMY RESTAURANT (අනුරාධපුර) 🚨
අනුරාධපුර නගරයේ ප්‍රමුඛ පෙළේ ආපනශාලා ජාලයක් වන **චමී රෙස්ටුරන්ට්** ශාඛාවන් සඳහා **Steward (වේටර් / සේවක)** තනතුරු සඳහා වහාම සේවකයින් බඳවා ගැනේ! 🍽️✨ ඉහළ ආදායමක් සමඟ සාර්ථක රැකියාවක් සොයන ඔබට මෙන්න කදිම අවස්ථාවක්!
### 💰 ආකර්ෂණීය වැටුප් හා ආදායම්:
* **📆 දින 26 සඳහා මූලික වැටුප:** රු. 56,000/-
* **💵 මාසය සඳහා මූලික වැටුප:** රු. 63,466/-
* **💰 ටිප් මුදල් (Tips) සමඟින් මසකට රු. 125,000/- ත් 165,000/- ත් අතර ඉහළ ආදායමක් උපයා ගැනීමේ හැකියාව!** 💸🔥
### 🎁 ඔබට ලැබෙන වරප්‍රසාද:
* 🍽️ නොමිලේ රසවත් ආහාර පාන
* 🛏️ නොමිලේම නවාතැන් පහසුකම්
* 👕 නොමිලේ නිල ඇඳුම් (Uniforms)
### 🎯 සුදුසුකම්:
* 👋 සුහදශීලී සහ කඩිසර අයෙකු වීම.
* 🥰 පාරිභෝගිකයින්ට ඉතා හොඳින් සහ ගෞරවනීය ලෙස සංග්‍රහ කිරීමේ හැකියාව.
* ✨ *(පළපුරුද්දක් නොමැති වුවද ක්ෂේත්‍රයට කැමැත්තක් සහ උනන්දුවක් ඇති අයටද අයදුම් කළ හැක)*
ඔබත් මෙම සුදුසුකම් සපුරාලූ අයෙක් නම්, අදම අපගේ බඳවා ගැනීමේ අංශය අමතා ඔබේ ඇබෑර්තුව වෙන් කරවා ගන්න! 💼🙌
### 📞 දැන්ම අමතන්න (Call Now):
📲 **0777 856 277**
📲 **0777 856 268**
#ChamyRestaurant #Anuradhapura #StewardJobs #WaiterJobs #JobVacancies #HiringNow #HotelJobs #AnuradhapuraJobs #JobVacancy #RestaurantJobs #JoinOurTeam #SriLankaJobs",,
https://ikman.lk/en/ad/hotel-kitchen-helper-steward-galle-fort-galle,"# උණවටුන සහ ගාල්ල කොටුව පිහිටි සංචාරක රිසොර්ට් එකක් සදහා
(පුහුණු හෝ නුපුහුණු) ස්ටුවර්ඩ් වේටර් ,  කිචන් හෙල්පර්,  කුක්
හවුස් කීපින් රෙස්ටූරන්ට් ඕල් රවුන්ඩර්
ආයුර්වේද සහයක සහයිකාවන්
මේන්ට්‍රේනර්ස් කාර්මික ශිල්පීන්
රිසෙප්ශනීස් ෆ්‍රන්ට් ඔෆිස් - කාන්තා පිරිමි සේවකයින් අවශ්‍යයි .
# සියළු පහසුකම් ආහාර පාන සමගින් ඉහළ වැටුප් දීමනාවන් හිමිවේ .
# යාමට ඒමට හැකියාව ඇති අය විශේෂයි . ඉහළ සුදුසුකම් අවශ්‍ය නොවෙයි .
#දුර පළාත් අය සදහා නවාතැන් ලබාදේ
සතියේ දිනයක උදෑසන පැමිණෙන්න
.සිංහල ,  මුස්ලිම් , දමිළ ඕනෑම අයෙකුට මේ සදහා පුහුණු නුපුහුණු දෙපාර්ශවයෙන්ම ඇබෑර්තු ඇත .
විමසීම් - 0774 -  076511
Tourists hotel Resort Vacancies
Available
Kitchen Helper
Steward Room Boy Receptionist
Ac,Electrician Maintenance
Ayurweda Therapist - Male Female
Operator Unawatuna and Galle
Contact - 0772268402",,
https://ikman.lk/en/ad/room-boy-waiter-available-all-island-comme-galle-1,"# උණවටුන , ගාල්ල , නුවර සහ කොළඹ පිහිටි සංචාරක රිසොර්ට් එකක් සදහා
(පුහුණු හෝ නුපුහුණු)
රූම්බෝයි ස්ටුවර්ඩ් වේටර් ,  කිචන් හෙල්පර්,  කුක්
රෙස්ටූරන්ට් ඕල් රවුන්ඩර්
ආයුර්වේද සහයක සහයිකාවන්
මේන්ට්‍රේනර්ස් කාර්මික ශිල්පීන්
රිසෙප්ශනීස් ෆ්‍රන්ට් ඔෆිස් - කාන්තා පිරිමි සේවකයින් අවශ්‍යයි .
# සියළු පහසුකම් ආහාර පාන සමගින් ඉහළ වැටුප් දීමනාවන් හිමිවේ .
# යාමට ඒමට හැකියාව ඇති අය විශේෂයි . ඉහළ සුදුසුකම් අවශ්‍ය නොවෙයි .
#දුර පළාත් අය සදහා නවාතැන් ලබාදේ
සතියේ දිනයක උදෑසන පැමිණෙන්න
.සිංහල ,  මුස්ලිම් , දමිළ ඕනෑම අයෙකුට මේ සදහා පුහුණු නුපුහුණු දෙපාර්ශවයෙන්ම ඇබෑර්තු ඇත .
විමසීම් - 0774 -  076511
Available Vacancies Open Areas kandy , Colombo ,Unawatuna and Galle .
Immediately Hiring
Tourists hotel Resort Vacancies
Available
Room Attendan Kitchen Helper
Steward ,Receptionist
Ac,Electrician Maintenance
Ayurweda Therapist - Male Female
Contact - 0772268402",,
https://ikman.lk/en/ad/kitchen-helper-colombo-986,"Viets Kitchen Havelock Restaurant is opening vacancy for below positions
(1) KITCHEN HELPER
- Working time : Full time (2 shifts)
- Job Description : Ingredients preparing, washing, cleaning.
- Requirement : NO experience needed. Trainee also can apply.
(2) RESTAURANT STEWARD
- Working time : Full time (2 shifts)
- Job description : Serving, making beverages, cleaning.
- Requirement : Basic English speaking skill.
Have experience is an advantage. Trainee also can apply
HOW TO APPLY
- Send your CV to this Whatsapp (NO CALL) 0763432098
Or Contact our manager Lahiru 0770078634
- Walk in interview : everyday from 11.30am to 2pm (except Tuesday)",,
https://ikman.lk/en/ad/food-dispatch-assistant-colombo,"WE ARE HIRING
FOOD DISPATCH Assistant
Grand Chancellor Kitchens (Pvt) Ltd
Grand Chancellor Kitchens (Pvt) Ltd is looking for a responsible, disciplined, and trustworthy individual to join our team as a Food Dispatch Officer.
Key Responsibilities:
✔ Coordinate and assist with food dispatch operations
✔ Check orders for accuracy, packing quality, and timely dispatch
✔ Support coordination between kitchen, dispatch team, and delivery staff
✔ Maintain proper dispatch records and handover procedures
✔ Assist in receiving goods / monitoring movement of items in and out of premises
✔ Ensure workplace discipline, orderliness, and safety standards are maintained
✔ Support management with operational duties as assigned
Requirements:
✔ Previous experience in security, dispatch, hospitality, or related field preferred
✔ Good communication and coordination skills
✔ Honest, punctual, and dependable personality
✔ Ability to work shifts / flexible hours when required
✔ Basic record-keeping ability
✔ Physically fit and able to work in an active operational environment
What We Offer:
✔ Stable employment in a professional workplace
✔ Competitive salary based on experience - Negotiable
✔ Staff meals and accomodation
Apply Now
WhatsApp your CV to 0777303207
Join the Grand Chancellor team and become part of our commitment to quality, safety, and excellent service.
📍 Location: Colombo 6 (Between Nugegoda and Kirulapone on High Level Road)",,
https://ikman.lk/en/ad/kitchen-helper-colombo-994,"ඉක්මන් ඇබෑර්තු
==========
විවෘත මුළුතැන්ගෙය සහිත කොළඹ 7 ආපන ශාලාවකට Kitchen Helper කෙනෙකු ඉක්මනින් බදවා ගැනේ.
* එළවළු, මස් සහ මාළු ඉක්මනින් කැපීමේ පලපුරැද්ද
* ⁠මුළුතැන්ගෙය සහ සියළු උපකරණ  සහ භාජන පිරිසිදුව තබා ගැනීමට හැකියාව
* ⁠උසස් පුද්ගල සනීපාරක්ෂාව සහ පිරිසිදුකම.
දැන්ම අමතන්න 0779966184
ඉහල වැටුප්, නවාතැන්, ප්‍රවාහන  සහ අනෙකුත් දීමනා. පූර්ණකාලීන රැකියාව - සේවා මුර ක්‍රමය (shift duty)",,
https://ikman.lk/en/ad/waiter-male-ratnapura-2,"We Are Hiring – Join Our Hospitality Team in UDAWALAWE
We are looking for energetic and experienced individuals for the following positions:
Restaurant Waiter
Kitchen Helpers
Requirements:
• Age below 40 years
• Passed G.C.E A/L+ O/L
• Minimum 1 year experience in a relevant field
• Good communication skills in fluent English will be an added advantage
• Ability to work with a young and dynamic team
• Candidates residing in and around  udawalawe area will be an added advantage
Benefits:
• Attractive salary package
• Free food, accommodation & uniform provided by the hotel
Contact: 0742241453/0768844719
WhatsApp your Resume -0742241453",,
https://ikman.lk/en/ad/waiter-matara-20,"• We are recruiting a a waiter for our restaurant and banquet hall.
• Food and accomodation are provided .
• Attractive salary and service charges.",,
