category,title,company,location,salary_min,salary_max,salary_mid,days_ago,detail_url,description
IT and Network Industry,Quality Assurance (QA) Engineer,Lakmini International (Pvt) Ltd,Colombo,,,,,https://ikman.lk/en/ad/quality-assurance-qa-engineer-software-testing-specialist-colombo,"Quality Assurance (QA) Engineer Software Testing Specialist Interns with a passion for Software Quality Assurance are also encouraged to apply. This is a great opportunity to gain hands-on industry experience and grow your career. Location Pannipitiya, Colombo Company Lakmini International (Pvt) Ltd Job Type Full-Time
Lakmini International (Pvt) Ltd, a reputed software development and digital solutions company established in 2012, is looking for a detail-oriented and passionate Quality Assurance (QA) Engineer to join our growing team.
We specialize in developing high-quality mobile and web applications. As part of our QA team, you will be responsible for ensuring our software products meet the highest quality standards through comprehensive testing, defect identification, and continuous quality improvement.
Job Responsibilities Plan, design, and execute manual test cases for web and mobile applications Identify, document, and track software defects using bug tracking tools Perform functional, regression, integration, usability, and compatibility testing Collaborate closely with developers, designers, and project managers to resolve issues Verify bug fixes and ensure software meets functional and business requirements Participate in requirement analysis and provide feedback to improve product quality Prepare and maintain test plans, test cases, and testing documentation Ensure software releases are stable and meet quality standards before deployment Report testing progress and provide quality assurance status updates Stay updated with the latest QA methodologies, testing tools, and industry best practices
Requirements Proven experience in software quality assurance or software testing Good understanding of software development life cycle (SDLC) and software testing life cycle (STLC) Experience in manual testing of web and mobile applications Strong analytical and problem-solving skills with excellent attention to detail Ability to identify, reproduce, and clearly document software defects Good communication and teamwork skills Ability to work under deadlines and manage multiple projects
Working Details Working Days Monday to Saturday Working Hours 9.00 AM 5.30 PM Location Pannipitiya, Colombo
Salary & Benefits Attractive salary based on experience and skills Overtime payments available Opportunity to work with a professional software development company Supportive, collaborative, and growth-focused working environment
How to Apply Send your CV to Email info.lakminiinternational@gmail.com Contact Number Join Lakmini International (Pvt) Ltd and become part of a dedicated team committed to delivering reliable, high-quality software solutions."
IT and Network Industry,Hardware Support Engineer,INFOTECH COMPUTERS PRIVATE LIMITED,Colombo,30000.0,50000.0,40000.0,0.62,https://ikman.lk/en/ad/hardware-support-engineer-colombo-1,"A growing IT company based in Colombo is looking for young, passionate, and energetic individuals to join our team and serve our customer base across Colombo and its suburbs.
Key Responsibilities
Setup, installation, and troubleshooting of IT hardware and related equipment.
Maintenance and management of servers, backup devices, and storage systems.
Troubleshooting and maintenance of printers and peripheral devices.
Installation, configuration, and maintenance of network equipment and CCTV systems.
Providing onsite and remote technical support to customers.
Required Qualifications
NVQ Level 4 Certificate or an equivalent qualification in Information Technology.
Ability to communicate effectively in both Sinhala and English.
Valid motorcycle riding license.
Willingness to work extended hours when required.
Minimum of 1 year of experience in a similar role.
Trainee Opportunities
Candidates who possess the above qualifications but have limited industry experience will be considered for recruitment as Trainee IT Support Technicians, subject to successful completion of a probationary training period.
How to Apply
Interested candidates are invited to forward their CVs to careers@itclk.com
Only shortlisted candidates will be contacted."
IT and Network Industry,Computer Technician,Miracala Computers,Colombo,,,,0.71,https://ikman.lk/en/ad/computer-technician-colombo-187,"WANTED Computer Technician
Job Duties Computer Assembling laptop assemble and disassemble Computer Hardware repairs Carrying the new equipment, carry it (Kottawa to Kolaba city ,( )
Required Skills Bike license required
Basic computer knowledge is enough
Working Hours 9 00am 7.00pm (Mon - Sat) kottawa
Email Miracala@gmail.com
0777 070 400 / 0717 550 560
Computer Hardware Technician Job Available in Kottawa Area (Computer Hardware) ( 18-35 ) .. Computer / Laptop assemble and disassemble Printer LQ-310 / tally 1145 assemble and disassemble office work document handling Computer Assembling Software Installation Good Communication Skills , Working Experience .. .
0777 070 400 / 0717 550 560 Whatsapp . Whatsapp . ."
IT and Network Industry,Quality Assurance (QA) Engineer,Lakmini International (Pvt) Ltd,Colombo,,,,0.75,https://ikman.lk/en/ad/quality-assurance-qa-engineer-software-testing-specialist-colombo,"Quality Assurance (QA) Engineer Software Testing Specialist Interns with a passion for Software Quality Assurance are also encouraged to apply. This is a great opportunity to gain hands-on industry experience and grow your career. Location Pannipitiya, Colombo Company Lakmini International (Pvt) Ltd Job Type Full-Time
Lakmini International (Pvt) Ltd, a reputed software development and digital solutions company established in 2012, is looking for a detail-oriented and passionate Quality Assurance (QA) Engineer to join our growing team.
We specialize in developing high-quality mobile and web applications. As part of our QA team, you will be responsible for ensuring our software products meet the highest quality standards through comprehensive testing, defect identification, and continuous quality improvement.
Job Responsibilities Plan, design, and execute manual test cases for web and mobile applications Identify, document, and track software defects using bug tracking tools Perform functional, regression, integration, usability, and compatibility testing Collaborate closely with developers, designers, and project managers to resolve issues Verify bug fixes and ensure software meets functional and business requirements Participate in requirement analysis and provide feedback to improve product quality Prepare and maintain test plans, test cases, and testing documentation Ensure software releases are stable and meet quality standards before deployment Report testing progress and provide quality assurance status updates Stay updated with the latest QA methodologies, testing tools, and industry best practices
Requirements Proven experience in software quality assurance or software testing Good understanding of software development life cycle (SDLC) and software testing life cycle (STLC) Experience in manual testing of web and mobile applications Strong analytical and problem-solving skills with excellent attention to detail Ability to identify, reproduce, and clearly document software defects Good communication and teamwork skills Ability to work under deadlines and manage multiple projects
Working Details Working Days Monday to Saturday Working Hours 9.00 AM 5.30 PM Location Pannipitiya, Colombo
Salary & Benefits Attractive salary based on experience and skills Overtime payments available Opportunity to work with a professional software development company Supportive, collaborative, and growth-focused working environment
How to Apply Send your CV to Email info.lakminiinternational@gmail.com Contact Number Join Lakmini International (Pvt) Ltd and become part of a dedicated team committed to delivering reliable, high-quality software solutions."
IT and Network Industry,JUNIOR TRAINEE (SOFTWARE DEVELOPMENT & IoT) - Ja-Ela,HEDANS ELECTRICAL,Gampaha,,,,2.0,https://ikman.lk/en/ad/junior-trainee-software-development-and-iot-ja-ela-gampaha,"HEDANS ELECTRICAL
It s all about QUALITY Quality Product from
HEDANSHIP ASIA (PVT) LTD VACANCY JUNIOR TRAINEE (SOFTWARE DEVELOPMENT & IoT) Kickstart Your Tech Career Today Are you a recent NVQ Level 5 (Diploma) graduate with a passion for technology Join Hedanship Asia (Pvt) Ltd as a Junior Trainee Software Development & IoT. No prior work experience required. Just a strong desire to learn, grow, and build your career in the tech industry. Why Join Us Learn & Grow
Hands-on training with real projects.
Exposure to modern tools and technologies. Build Your Career
Excellent opportunities for career growth.
Professional development support. Work with Experts
Mentorship from experienced professionals.
Learn directly from industry experts. Requirements NVQ Level 5 (Diploma) in ICT or a related field. Strong analytical and problem-solving skills. Passion for Software Development and IoT. Previous experience in a similar field will be an added advantage. Knowledge of Flutter and Dart frameworks will be considered an advantage. What We Offer Supportive and dynamic learning environment. Career growth and professional development opportunities. Access to the latest tools and technologies. Mentorship from experienced professionals. How to Apply
Interested candidates are encouraged to send Your Resume (CV) A Cover Letter explaining your interest in the position. WhatsApp
077 5056 092 Email career@hedans.com hedanship@live.com Website
www.hedans.com
--- Office Address Hedanship Asia (Pvt) Ltd
55, Rajawatte Terrace, Kotugoda, Ekala, Ja-Ela."
IT and Network Industry,IT Executive,Digitech Holdings Private Limited,Colombo,,,,4.0,https://ikman.lk/en/ad/it-executive-colombo-177,"WE ARE HIRING
IT EXECUTIVE
Digitech Holdings (Pvt) Ltd, a growing technology and engineering solutions provider based in Malabe, is looking for a dedicated and technically competent IT Executive to join our team.
Key Responsibilities - Diagnose, troubleshoot, repair, and maintain desktop computers, laptops, and printers.
- Install, configure, and upgrade computer hardware, operating systems, and software.
- Perform preventive maintenance of IT equipment and peripherals.
- Configure and troubleshoot LAN/WAN networks, Wi-Fi, routers, switches, and network devices.
- Install and maintain network printers and other IT peripherals.
- Provide on-site and remote technical support to customers.
- Identify hardware and network issues and recommend appropriate solutions.
- Assist with the installation and maintenance of CCTV systems, structured cabling, and network infrastructure when required.
- Maintain service records and prepare technical reports.
- Coordinate with the technical team to ensure timely completion of service calls and projects.
Requirements - Minimum qualification Diploma in Information Technology, Computer Hardware, Computer Engineering, Networking, or a related field.
- NVQ Level 4 qualification in Computer Hardware and Network Technology will be an added advantage.
- Minimum one (1) year of experience in computer hardware repairs and IT support is preferred.
- Sound knowledge of desktop and laptop hardware troubleshooting.
- Experience in servicing and repairing printers (Inkjet, LaserJet, Dot Matrix, Thermal, etc.).
- Basic knowledge of networking, including routers, switches, Wi-Fi, TCP/IP, and network troubleshooting.
- Knowledge of CCTV systems, structured cabling, network installations, and ELV systems will be an added advantage.
- Good communication and customer service skills.
- Ability to work independently and as part of a team.
- Possession of a valid riding or driving licence will be an added advantage.
- Fresh graduates and candidates with relevant technical qualifications are also encouraged to apply.
What We Offer - Attractive salary package.
- Performance-based incentives.
- Friendly and professional working environment.
- Opportunities for training, professional development, and career growth.
- Exposure to a wide range of IT infrastructure, networking, CCTV, ELV, and technology projects.
Location Malabe
How to Apply Interested candidates are invited to send their CV with the subject line Application for IT Executive to careers@digitechholdings.lk
and to minuship@gmail.com
or contact / Closing Date 22nd July 2026
Digitech Holdings (Pvt) Ltd
Your Growth Enabler"
IT and Network Industry,Graphic Designer - Malabe,Digitech Holdings Private Limited,Colombo,,,,4.0,https://ikman.lk/en/ad/graphic-designer-malabe-colombo-4,"WE ARE HIRING
GRAPHIC DESIGNER
Digitech Holdings (Pvt) Ltd, a growing technology and engineering solutions provider based in Malabe, is looking for a creative and talented Graphic Designer to join our team.
Key Responsibilities - Design marketing and promotional materials for print and digital media.
- Create social media graphics, advertisements, banners, brochures, flyers, and other branding materials.
- Develop creative concepts and visual content for company products, services, and campaigns.
- Design presentations, proposals, and corporate documents.
- Edit images and prepare artwork for print and digital publishing.
- Collaborate with the marketing and project teams to produce high-quality creative content.
- Ensure all designs are consistent with the company s branding guidelines.
Requirements
Minimum qualification - Diploma in Graphic Designing or an equivalent professional qualification.
- Minimum one (1) year of experience in graphic design is preferred.
- Proficiency in Adobe Photoshop, Adobe Illustrator, Adobe InDesign, CorelDRAW, and other relevant graphic design software.
- Knowledge of video editing, motion graphics, UI/UX design, or AI-powered design tools will be an added advantage.
- Creative thinking with a strong eye for detail and aesthetics.
- Good communication and time management skills.
- Ability to work independently and manage multiple design projects simultaneously.
- Fresh graduates and candidates with a strong portfolio are also encouraged to apply.
What We Offer - Attractive salary package.
- Friendly and professional working environment.
- Opportunities for career growth and professional development.
- Opportunity to work on a diverse range of branding, marketing, and digital media projects.
Location Malabe
How to Apply Interested candidates may send their CV together with a portfolio of their recent design work to minuship@gmail.com
and to careers@digitechholdings.lk
or contact Digitech Holdings (Pvt) Ltd
Your Growth Enabler"
IT and Network Industry,Graphic Designer,Graphic Designer,Colombo,,,,5.0,https://ikman.lk/en/ad/graphic-designer-colombo-3387,"Graphic Designer & Content Creator COCO by Cotton Collection UAE Operations (Based in Sri Lanka) Sri Lankan Roots. International Style. Strong proficiency in Adobe Photoshop and Illustrator Good understanding of layout, typography, and social media design Basic to intermediate video editing skills Strong creative thinking and attention to detail Ability to adapt to brand direction and campaign objectives Good communication and collaboration skills Ability to manage time and meet deadlines in a fast-paced environment Design creatives for Instagram posts, reels, stories, and ads
Meta and Google ad campaigns
Website banners and e-commerce assets
Email marketing campaigns
In-store and promotional material Understand UAE demographics, trends, aesthetics, and social media culture to create relevant and high-performing content Work closely with the marketing lead to execute campaign concepts and creative direction Edit and enhance visuals using Adobe Photoshop and Illustrator Create social-first ad creatives optimized for engagement and conversions Maintain consistency in brand identity and visual communication Support video editing and short-form content creation for social media We offer an attractive remuneration package & incentives that are above market standards for the suitable candidate. Be part of a Sri Lankan brand expanding internationally Work on campaigns created for the UAE market and audience Gain exposure to global retail, fashion, and e-commerce marketing Build an international-standard portfolio while working from Sri Lanka Opportunity to contribute creatively beyond just execution Work closely with the UAE team on real-time campaigns and launches Ability to create engaging reels/content from raw footage provided by the UAE team Ability to independently create fashion or lifestyle content while based in Sri Lanka Experience with Premiere Pro, After Effects, CapCut, or similar editing software Strong understanding of fashion, retail, and lifestyle branding Awareness of current social media trends and content formats If you feel you are the right individual for the above position, then apply via of this advert. Send your CV and Portfolio to the email below. & hr@softlogic.lk COCO by Cotton Collection is a Sri Lankan-born fashion and lifestyle brand that has successfully expanded into the UAE retail and e-commerce market. Rooted in effortless luxury, breathable fabrics, and modern boho aesthetics, COCO represents Sri Lankan creativity on an international stage. www.cocobycottoncollction.com @cocobycottoncollction"
IT and Network Industry,IT Hardware Technician (Field Job),Abans PLC,Colombo,,,,5.0,https://ikman.lk/en/ad/it-hardware-technician-field-job-colombo-4,"Abans Group
Founded in 1968 by Aban Pestonjee, Abans Group is a leading conglomerate that offers targeted solutions ranging from real estate and engineering to retail and Auto, which aim to enhance the lives of Sri Lankan citizens. Join the Abans Group to experience a rewarding career IT Hardware Technician (Field)
Requirements
NVQ Level 4 or an equivalent qualification in IT or a related field
Minimum 1 year of experience in a similar role
Basic understanding of IT hardware, software, and networking
Ability to troubleshoot and repair IT equipment (especially laptops and tablets)
Good communication and customer service skills
Must own a motorbike fuel expenses for work-related travel will be reimbursed
Send your CV to careers@abansgroup.com or through whatsapp to"
IT and Network Industry,ERP System Support Assistant,Exesmart Dynamics (Pvt) Ltd,Kurunegala,,,,5.0,https://ikman.lk/en/ad/erp-system-support-kurunegala,"Job Summary
We are looking for a dedicated ERP System Support professional to support our clients on using our ERP solution. The role involves assisting users, troubleshooting system issues, ensuring accurate data processing, and supporting daily operations within the ERP environment.
Key Responsibilities Provide day-to-day support for the ERP solution. Assist users with system inquiries, errors, and functional issues. Monitor and ensure accuracy of transactions in the system. Perform basic system configuration related to ERP functions. Coordinate with finance, IT, and other users for system enhancements or issue resolution. Prepare user guides, documentation, and training materials. Assist in ERP upgrades, testing, and implementation activities
Requirements. Diploma or degree in Accounting, Finance, Information Systems, or a related field. Experience working with ERP systems (e.g., SAP, Oracle, Odoo, Microsoft Dynamics, etc.) Basic understanding of accounting principles (GL, AP, AR, Fixed Assets) Strong troubleshooting and problem-solving skills. Good communication skills and ability to support end users. Attention to detail and ability to work under deadlines
Preferred Qualifications. Prior experience in ERP system support or implementation. Knowledge of SQL or report generation tools is an advantage. Experience in user training and documentation.
What We Offer Competitive salary and benefits package. Opportunity to work with modern ERP systems. Professional growth and training opportunities. Collaborative and supportive work environment.
How to Apply Interested candidates are invited to submit their resume to careers@exesmart.com with the subject line ERP System Support Application."
